X Y idx INI-ZB CoorU-VELOCITY CoorV-VELOCITY U-VELOCITY V-VELOCITY ABS-UV-VELOCITY TOMD1-U ZS DEPTH US-DISCHARGE VS-DISCHARGE
236289.95544545454 2630101.406352201 1 316.0647794305696 0.1047780917288037 0.8219864270067774 0.17387343167501967 -0.8042301397654228 0.8228100845590234 8.508859163150191 325.1263627902954 9.06158335969667 3.083138332993258 -8.53220066614449
236310.11857727272 2630101.406352201 1 316.47240719648835 0.26738176663639024 1.9598528678761795 0.4402281937072985 -1.8969507910078391 1.9476454826071858 20.084583978168666 324.86749033932574 8.395083142851945 4.342282704048557 -20.02187814936042
236330.2817090909 2630101.406352201 1 351.7542507350445 0.20578586648480268 2.0278958312846953 0.6771487448859261 -1.8530958144983742 1.9831768181538791 18.498552137287334 359.38139160722494 7.627140878495993 5.845311944722198 -17.948522202204913
236350.44484090907 2630101.406352201 1 703.086651545018 -0.07281236758808518 0.7703206681471784 0.47957870685786474 -0.5871966527411132 0.7581534638593439 5.899250561487861 706.4964533112943 3.4098017591168173 3.896901777246967 -5.325496391975321
236370.60797272727 2630101.406352201 1 974.8249755240977 -0.021152042936591897 0.05657538647938054 0.050667477858951315 -0.03242897266318323 0.060156506558996625 0.46089061407838017 975.0924587361515 0.26748320809565485 0.38798941852292046 -0.3131234106840566
236209.3029181818 2630121.5887044026 1 316.0925319936332 0.09158345662581269 0.4691488618263975 0.04873530928307446 -0.4719588620355353 0.4745452138595283 5.243755992501974 325.32785095366125 9.235318960039876 0.523251158912899 -4.84191932156682
236229.46605 2630121.5887044026 1 316.15275812478285 0.2130234490687144 1.3188654814730398 0.20642093736387324 -1.307019037893042 1.323474958713632 14.51047240383923 325.03945279448817 8.886694669708959 1.6148556722910143 -13.41366621479392
236249.62918181816 2630121.5887044026 1 316.2862102587387 0.34176399851276074 2.1752618445898406 0.3626443034008844 -2.1526300100958906 2.182966849708464 24.07274819072336 324.7542817539943 8.468071495299228 2.822830701847124 -21.974139499478042
236269.79231363634 2630121.5887044026 1 316.11568062148945 0.3223302213518764 2.427635120191553 0.5299201991292648 -2.356200779264327 2.422547898735502 25.53412360046059 324.61734512311887 8.50166450162942 4.068993555498309 -23.197528339223936
236289.95544545454 2630121.5887044026 1 315.88173189004374 0.2174260660103755 2.2939286682449165 0.6913657262266497 -2.1543558951234445 2.267502537171822 22.179288920597173 324.57661055791687 8.694878667869489 5.475169325538445 -19.651723902206868
236310.11857727272 2630121.5887044026 1 316.0318681294666 0.14320293538548867 2.1594544113868324 0.8521818259032443 -1.9333764155198878 2.114927357324632 19.39691145150573 324.58735730218905 8.555489172729722 7.021498445945326 -17.180890522009577
236330.2817090909 2630121.5887044026 1 316.5583406175574 -0.11369730492037888 1.8845428755375906 1.1068681108008604 -1.4804133248089784 1.853854683758982 15.304804037208669 324.6266644772968 8.068323859733937 9.001750199357048 -13.385404086497147
236350.44484090907 2630121.5887044026 1 472.05001320689917 -0.5565830539271701 1.2196623030104092 1.175858362694271 -0.6317217640535091 1.3504360358347185 10.786763936048374 477.75621631741524 5.706203100213315 8.739986427477561 -6.261118282098323
236370.60797272727 2630121.5887044026 1 841.7114166021347 -0.2960104303492699 0.34566307757631876 0.44811641186242923 -0.08639902451250236 0.456368756655138 4.226641756948084 843.2486815303564 1.5372649371856824 2.9933746717870235 -1.1018924348754808
236390.77110454545 2630121.5887044026 1 998.9999999999999 0.0 0.0 0.0 0.0 0.0 0.0 999.0000999999999 0.0001 0.0 0.0
236108.4872590909 2630141.7710566036 1 319.5734336769383 0.012554864777484909 0.03553302551154047 0.00012920406084049318 -0.037651709688361734 0.03765194828156382 0.5464031379669905 326.46020883714664 6.8867751602083445 -1.3240178507876408 -0.3316355664283037
236128.65039090908 2630141.7710566036 1 317.92673545793514 0.19723525068548042 0.604318932746537 0.012077567767846631 -0.6345047311624512 0.6347382056992501 8.606143929995596 325.7645726354385 7.837837177582514 -3.107472225499805 -5.856375374365598
236148.81352272726 2630141.7710566036 1 317.3400170795212 0.2882243109343108 1.2227469865465537 0.09028958527778741 -1.2507522890809923 1.2542053250363097 14.575573038775474 325.38057576390565 8.040558684388088 -1.4923987215734087 -12.47403775062412
236168.97665454543 2630141.7710566036 1 316.7685049452939 0.3991130571375834 1.83569315134082 0.1551687456521904 -1.8693564896238968 1.8757904382655397 21.470431278459728 324.99574240029324 8.227237454993883 0.32092208409449086 -18.709613864775747
236189.13978636364 2630141.7710566036 1 316.3053967656406 0.5042647594236769 2.439377674716525 0.2289424375849194 -2.469597430084832 2.480507295462303 27.921261832118034 324.6506231133244 8.345226347679272 1.61920304512023 -25.013500235509127
236209.3029181818 2630141.7710566036 1 316.04370482183367 0.45117909556938685 2.4404484723709174 0.3150899452448357 -2.43396635868703 2.4547124457531027 26.07918014586903 324.5731874428602 8.529482621026546 2.1567608487966936 -24.23815605265554
236229.46605 2630141.7710566036 1 315.8596916057795 0.3532205922965659 2.330362570231955 0.44470491097308695 -2.276702969415055 2.324827789700066 23.308067991631106 324.52876847942025 8.669076873640734 3.239262332965154 -21.39402198290918
236249.62918181816 2630141.7710566036 1 315.8424730767365 0.270091395624263 2.246884409844597 0.5882154598548368 -2.1487369240817316 2.2288392749973127 21.344398164972517 324.4970471653769 8.654574088657682 4.484090310841566 -18.588236668183526
236269.79231363634 2630141.7710566036 1 315.9286112546288 0.2202408456591911 2.2973411009079427 0.7506447611776821 -2.14133932063487 2.270549714736262 22.283120171457995 324.4902985719673 8.56168731733851 5.815273107116809 -18.404389846091362
